"","NCBI Taxon ID","Species Name","predicted_cd_activity","cysK","cysM","lcd","malY","metC","tnaA"
"1",821,"Phocaeicola vulgatus","cd expected","pos",NA,"pos","pos",NA,NA
"2",853,"Faecalibacterium prausnitzii","cd expected","pos",NA,NA,NA,NA,NA
"3",562,"Escherichia coli","cd expected","pos","pos","pos","pos","pos","pos"
"4",820,"Bacteroides uniformis","cd expected","pos",NA,"pos","pos",NA,"pos"
"5",40520,"Blautia obeum","cd expected","pos",NA,NA,NA,NA,NA
"6",823,"Parabacteroides distasonis","not searched",NA,NA,NA,NA,NA,NA
"7",1150298,"Fusicatenibacter saccharivorans","not searched",NA,NA,NA,NA,NA,NA
"8",246787,"Bacteroides cellulosilyticus","cd expected","pos",NA,"pos","pos",NA,"pos"
"9",28116,"Bacteroides ovatus","cd expected","pos",NA,"pos","pos",NA,"pos"
"10",649756,"Anaerostipes hadrus","not searched",NA,NA,NA,NA,NA,NA
"11",301302,"Roseburia faecis","not searched",NA,NA,NA,NA,NA,NA
"12",371601,"Bacteroides xylanisolvens","cd expected","pos",NA,"pos","pos",NA,"pos"
"13",74426,"Collinsella aerofaciens","cd expected","pos",NA,"pos","pos",NA,NA
"14",818,"Bacteroides thetaiotaomicron","cd expected","pos",NA,"pos","pos",NA,"pos"
"15",47678,"Bacteroides caccae","cd expected","pos",NA,"pos","pos",NA,NA
"16",216816,"Bifidobacterium longum","cd expected","pos",NA,NA,"pos","pos",NA
"17",1680,"Bifidobacterium adolescentis","cd expected","pos",NA,NA,"pos","pos",NA
"18",46503,"Parabacteroides merdae","cd expected","pos",NA,"pos","pos",NA,NA
"19",357276,"Bacteroides dorei","cd expected","pos",NA,"pos","pos",NA,NA
"20",88431,"Dorea longicatena","cd expected","pos",NA,NA,"pos","pos",NA
"21",573,"Klebsiella pneumoniae","not searched",NA,NA,NA,NA,NA,NA
"22",40518,"Ruminococcus bromii","cd expected","pos",NA,"pos",NA,NA,NA
"23",817,"Bacteroides fragilis","cd expected","pos",NA,"pos","pos",NA,NA
"24",292800,"Flavonifractor plautii","not searched",NA,NA,NA,NA,NA,NA
"25",214856,"Alistipes finegoldii","not searched",NA,NA,NA,NA,NA,NA
"26",166486,"Roseburia intestinalis","cd expected","pos",NA,"pos","pos","pos",NA
"27",28118,"Odoribacter splanchnicus","not searched",NA,NA,NA,NA,NA,NA
"28",745368,"Gemmiger formicilis","not searched",NA,NA,NA,NA,NA,NA
"29",33043,"Coprococcus eutactus","cd expected","pos",NA,"pos","pos",NA,NA
"30",571,"Klebsiella oxytoca","not searched",NA,NA,NA,NA,NA,NA
"31",328814,"Alistipes shahii","cd expected","pos","pos",NA,"pos",NA,"pos"
"32",1351,"Enterococcus faecalis","not searched",NA,NA,NA,NA,NA,NA
